interaction_id|customer_id|interaction_type|interaction_date
1|75951|Chat|2023-01-09
2|35614|Call|2023-01-06
3|49067|Chat|2023-01-17
4|31381|Email|2023-01-15
5|15061|Chat|2023-01-19
6|51460|Chat|2023-01-12
7|5050|Chat|2023-01-19
8|85553|Chat|2023-01-16
9|62764|Chat|2023-01-18
10|91123|Email|2023-01-23
11|37617|Email|2023-01-18
12|54820|Chat|2023-01-24
13|73075|Chat|2023-01-25
14|2654|Chat|2023-01-26
15|22454|Chat|2023-01-27
16|50864|Email|2023-01-27
17|62125|Email|2023-01-25
18|96087|Chat|2023-01-30
19|14683|Email|2023-02-02
20|53766|Chat|2023-02-04
21|98404|Chat|2023-02-08
22|41599|Chat|2023-02-04
23|6458|Chat|2023-02-03
24|91203|Chat|2023-02-04
25|80616|Email|2023-02-07
26|9829|Chat|2023-02-11
27|8819|Chat|2023-02-11
28|37340|Chat|2023-02-08
29|71052|Chat|2023-02-12
30|53748|Call|2023-02-13
31|58208|Chat|2023-02-11
32|18483|Chat|2023-02-13
33|88542|Email|2023-02-16
34|35509|Email|2023-02-10
35|49693|Chat|2023-02-16
36|25608|Chat|2023-02-16
37|61575|Call|2023-02-20
38|80397|Chat|2023-02-18
39|68273|Email|2023-02-15
40|82180|Chat|2023-02-13
41|33525|Chat|2023-02-17
42|99269|Chat|2023-02-20
43|22854|Chat|2023-02-18
44|16408|Chat|2023-02-22
45|90495|Chat|2023-02-24
46|67753|Chat|2023-02-23
47|68004|Email|2023-02-26
48|7749|Chat|2023-02-28
49|83167|Chat|2023-03-02
50|6089|Chat|2023-02-27
51|24789|Chat|2023-02-28
52|57005|Chat|2023-03-03
53|26006|Chat|2023-03-04
54|78771|Email|2023-03-02
55|79573|Chat|2023-03-05
56|81333|Chat|2023-03-01
57|31324|Email|2023-03-04
58|81302|Call|2023-03-01
59|66384|Chat|2023-03-06
60|38432|Chat|2023-03-08
61|84484|Call|2023-03-05
62|40600|Chat|2023-03-08
63|54536|Chat|2023-03-07
64|79158|Email|2023-03-08
65|67164|Chat|2023-03-08
66|58623|Chat|2023-03-11
67|43376|Chat|2023-03-08
68|20668|Email|2023-03-12
69|41846|Chat|2023-03-09
70|61264|Chat|2023-03-09
71|69717|Email|2023-03-08
72|86563|Chat|2023-03-10
73|68665|Chat|2023-03-14
74|36003|Chat|2023-03-12
75|96289|Chat|2023-03-12
76|97770|Email|2023-03-12
77|25418|Chat|2023-03-14
78|35664|Chat|2023-03-15
79|21234|Chat|2023-03-14
80|79161|Email|2023-03-16
81|42260|Email|2023-03-14
82|72015|Email|2023-03-14
83|53544|Email|2023-03-15
84|13153|Email|2023-03-19
85|16995|Chat|2023-03-14
86|28955|Email|2023-03-14
87|13855|Chat|2023-03-14
88|53951|Call|2023-03-18
89|94606|Email|2023-03-15
90|67915|Email|2023-03-16
91|21491|Chat|2023-03-18
92|39999|Chat|2023-03-19
93|2425|Chat|2023-03-22
94|92853|Call|2023-03-17
95|7958|Chat|2023-03-23
96|76725|Email|2023-03-23
97|24427|Email|2023-03-23
98|69797|Chat|2023-03-20
99|29515|Chat|2023-03-22
100|6984|Email|2023-03-22
101|98337|Email|2023-03-21
102|28523|Email|2023-03-24
103|11545|Chat|2023-03-19
104|92244|Chat|2023-03-25
105|55897|Chat|2023-03-23
106|88446|Chat|2023-03-25
107|44189|Call|2023-03-26
108|34839|Chat|2023-03-27
109|78224|Chat|2023-03-26
110|77048|Chat|2023-03-25
111|99504|Chat|2023-03-30
112|97263|Chat|2023-03-26
113|61690|Chat|2023-03-27
114|43368|Chat|2023-03-29
115|36079|Chat|2023-03-30
116|49771|Email|2023-04-01
117|21340|Email|2023-04-01
118|69655|Chat|2023-03-30
119|53506|Call|2023-03-30
120|15047|Chat|2023-03-29
121|14644|Chat|2023-03-28
122|85198|Chat|2023-03-31
123|74787|Email|2023-04-03
124|74145|Email|2023-03-29
125|19774|Chat|2023-04-02
126|79653|Chat|2023-03-28
127|59349|Chat|2023-04-01
128|19188|Chat|2023-04-02
129|15047|Chat|2023-04-04
130|9530|Chat|2023-04-03
131|50633|Chat|2023-04-05
132|16467|Chat|2023-04-07
133|54922|Chat|2023-04-08
134|97263|Email|2023-04-07
135|42840|Chat|2023-04-10
136|58301|Chat|2023-04-06
137|64964|Email|2023-04-08
138|68204|Email|2023-04-04
139|23937|Chat|2023-04-04
140|41277|Email|2023-04-09
141|34419|Chat|2023-04-10
142|94323|Chat|2023-04-11
143|33248|Chat|2023-04-10
144|88110|Email|2023-04-12
145|55970|Email|2023-04-10
146|35495|Chat|2023-04-11
147|13611|Chat|2023-04-14
148|60727|Email|2023-04-09
149|85933|Email|2023-04-17
150|36885|Chat|2023-04-11
151|51131|Chat|2023-04-14
152|22183|Email|2023-04-10
153|57909|Chat|2023-04-13
154|65497|Email|2023-04-15
155|25717|Email|2023-04-14
156|45622|Call|2023-04-09
157|50963|Chat|2023-04-12
158|95061|Chat|2023-04-13
159|53455|Call|2023-04-15
160|61737|Chat|2023-04-15
161|91553|Chat|2023-04-14
162|59158|Chat|2023-04-17
163|9638|Chat|2023-04-18
164|4096|Chat|2023-04-18
165|53453|Chat|2023-04-19
166|83990|Chat|2023-04-11
167|53440|Email|2023-04-20
168|68097|Email|2023-04-22
169|20147|Chat|2023-04-22
170|83272|Chat|2023-04-20
171|31526|Call|2023-04-20
172|8769|Chat|2023-04-17
173|9081|Chat|2023-04-17
174|13477|Email|2023-04-19
175|4269|Chat|2023-04-20
176|37062|Chat|2023-04-19
177|86154|Chat|2023-04-20
178|35075|Email|2023-04-19
179|52834|Chat|2023-04-25
180|87774|Chat|2023-04-23
181|12614|Chat|2023-04-23
182|29096|Chat|2023-04-25
183|6701|Chat|2023-04-24
184|61056|Call|2023-04-25
185|26771|Chat|2023-04-23
186|22557|Email|2023-04-22
187|27804|Chat|2023-04-25
188|93705|Chat|2023-04-25
189|45327|Chat|2023-04-24
190|29528|Chat|2023-04-26
191|89876|Chat|2023-04-26
192|42102|Chat|2023-04-25
193|43138|Chat|2023-04-26
194|58159|Chat|2023-04-26
195|64974|Call|2023-04-28
196|57762|Chat|2023-04-27
197|39661|Email|2023-04-27
198|49791|Chat|2023-04-26
199|5573|Email|2023-04-28
200|15590|Chat|2023-04-28
201|47910|Email|2023-04-27
202|1493|Call|2023-04-30
203|79646|Chat|2023-05-02
204|72092|Chat|2023-04-30
205|45403|Chat|2023-05-01
206|19411|Email|2023-04-29
207|14886|Chat|2023-05-03
208|19782|Chat|2023-04-29
209|19578|Chat|2023-05-02
210|2557|Chat|2023-05-03
211|73657|Chat|2023-05-02
212|49535|Chat|2023-05-02
213|99843|Email|2023-05-03
214|44647|Chat|2023-05-07
215|4163|Chat|2023-05-03
216|60356|Chat|2023-05-06
217|57919|Chat|2023-05-05
218|619|Chat|2023-05-04
219|9185|Chat|2023-05-06
220|79361|Chat|2023-04-29
221|21773|Chat|2023-05-05
222|21790|Email|2023-05-03
223|92058|Chat|2023-05-06
224|32326|Email|2023-05-03
225|58051|Email|2023-05-06
226|39379|Chat|2023-05-09
227|92091|Email|2023-05-02
228|56820|Chat|2023-05-02
229|64974|Chat|2023-05-08
230|24427|Chat|2023-05-07
231|19238|Chat|2023-05-05
232|70026|Chat|2023-05-02
233|88629|Chat|2023-05-08
234|21666|Email|2023-05-08
235|95752|Chat|2023-05-05
236|89631|Chat|2023-05-06
237|13406|Email|2023-05-09
238|9808|Chat|2023-05-07
