product_id|customer_id|product_type|enrollment_date|limit
1|1|Savings|2023-12-22|0.0
2|2|Savings|2025-01-17|0.0
3|3|Savings|2023-05-09|0.0
4|3|Credit Card|2024-02-01|14000.0
5|4|Savings|2023-09-09|0.0
6|4|Credit Card|2024-07-24|45000.0
7|5|Savings|2025-01-27|0.0
8|5|Credit Card|2025-01-27|45000.0
9|6|Savings|2024-02-01|0.0
10|6|Credit Card|2024-02-16|95000.0
11|7|Savings|2023-03-04|0.0
12|8|Savings|2023-08-24|0.0
13|9|Savings|2023-05-14|0.0
14|9|Credit Card|2025-01-15|81000.0
15|10|Savings|2024-02-26|0.0
16|11|Savings|2023-03-21|0.0
17|12|Savings|2023-06-07|0.0
18|13|Savings|2024-04-19|0.0
19|14|Savings|2024-07-19|0.0
20|14|Credit Card|2024-09-26|81000.0
21|15|Savings|2023-02-04|0.0
22|15|Credit Card|2023-05-04|89000.0
23|16|Savings|2024-07-24|0.0
24|17|Savings|2023-09-01|0.0
25|18|Savings|2023-01-28|0.0
26|19|Savings|2024-05-19|0.0
27|20|Savings|2023-12-07|0.0
28|21|Savings|2023-01-23|0.0
29|21|Credit Card|2023-08-25|80000.0
30|22|Savings|2023-04-22|0.0
31|23|Savings|2023-10-03|0.0
32|24|Savings|2023-03-21|0.0
33|25|Savings|2024-01-12|0.0
34|26|Savings|2023-10-18|0.0
35|27|Savings|2024-07-02|0.0
36|27|Credit Card|2024-11-24|36000.0
37|28|Savings|2025-01-04|0.0
38|28|Credit Card|2025-01-04|11000.0
39|29|Savings|2023-03-17|0.0
40|29|Credit Card|2024-03-03|88000.0
41|30|Savings|2024-05-13|0.0
42|30|Credit Card|2025-01-13|71000.0
43|31|Savings|2023-07-05|0.0
44|31|Credit Card|2023-12-21|93000.0
45|32|Savings|2024-07-13|0.0
46|32|Credit Card|2024-09-02|43000.0
47|33|Savings|2023-12-03|0.0
48|34|Savings|2024-12-30|0.0
49|35|Savings|2024-01-16|0.0
50|35|Credit Card|2024-03-25|87000.0
51|36|Savings|2024-06-13|0.0
52|37|Savings|2025-01-08|0.0
53|38|Savings|2024-08-30|0.0
54|39|Savings|2023-07-30|0.0
55|40|Savings|2024-11-30|0.0
56|40|Credit Card|2025-01-10|57000.0
57|41|Savings|2023-09-15|0.0
58|41|Credit Card|2024-04-15|90000.0
59|42|Savings|2024-11-20|0.0
60|43|Savings|2024-02-04|0.0
61|43|Credit Card|2024-11-18|31000.0
62|44|Savings|2024-03-13|0.0
63|44|Credit Card|2024-10-16|61000.0
64|45|Savings|2024-08-02|0.0
65|45|Credit Card|2024-08-22|35000.0
66|46|Savings|2023-09-29|0.0
67|47|Savings|2024-06-12|0.0
68|48|Savings|2024-03-28|0.0
69|49|Savings|2024-09-13|0.0
70|50|Savings|2023-07-17|0.0
71|50|Credit Card|2023-09-02|48000.0
72|51|Savings|2023-12-06|0.0
73|51|Credit Card|2024-10-03|43000.0
74|52|Savings|2024-06-19|0.0
75|53|Savings|2023-05-14|0.0
76|54|Savings|2023-06-20|0.0
77|55|Savings|2023-03-23|0.0
78|56|Savings|2023-06-15|0.0
79|57|Savings|2023-06-27|0.0
80|58|Savings|2024-09-18|0.0
81|58|Credit Card|2025-01-22|49000.0
82|59|Savings|2024-12-05|0.0
83|60|Savings|2023-02-25|0.0
84|61|Savings|2024-07-15|0.0
85|61|Credit Card|2024-10-02|78000.0
86|62|Savings|2023-12-14|0.0
87|63|Savings|2024-09-15|0.0
88|64|Savings|2023-08-17|0.0
89|65|Savings|2024-10-04|0.0
90|66|Savings|2023-07-20|0.0
91|66|Credit Card|2024-01-17|70000.0
92|67|Savings|2023-04-27|0.0
93|67|Credit Card|2024-01-17|79000.0
94|68|Savings|2023-11-01|0.0
95|68|Credit Card|2025-01-04|17000.0
96|69|Savings|2023-07-26|0.0
97|70|Savings|2024-06-08|0.0
98|70|Credit Card|2025-01-09|14000.0
99|71|Savings|2024-12-03|0.0
100|72|Savings|2024-10-22|0.0
101|72|Credit Card|2024-11-17|74000.0
102|73|Savings|2025-01-18|0.0
103|73|Credit Card|2025-01-28|17000.0
104|74|Savings|2023-07-01|0.0
105|75|Savings|2024-08-24|0.0
106|76|Savings|2023-03-13|0.0
107|77|Savings|2024-10-05|0.0
